Account,total_pnl,total_trades,win_rate,avg_trade_size,trading_days,total_volume,trades_per_day,volume_segment,frequency_segment,performance_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,3818,0.3596123624934521,16159.57673389209,2,61697263.97,1909.0,High Volume,Frequent,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,7280,0.4427197802197802,1653.2263269230768,3,12035487.66,2426.6666666666665,High Volume,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,3809,0.3019165135206091,8893.000897873459,4,33873440.42,952.25,High Volume,Infrequent,Consistent Loser
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,13311,0.43858462925400044,507.6269326121253,3,6757022.1,4437.0,Low Volume,Frequent,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,3239,0.5199135535659154,3138.894782340228,3,10166880.2,1079.6666666666667,Low Volume,Infrequent,Consistent Winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,815,0.45521472392638035,1729.9411042944785,7,1409902.0,116.42857142857143,Low Volume,Infrequent,Consistent Loser
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,3589,0.32766787405962666,4790.5754862078575,2,17193375.42,1794.5,High Volume,Frequent,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,332,0.4759036144578313,3445.471265060241,2,1143896.46,166.0,Low Volume,Infrequent,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,383,0.2349869451697128,5189.367127937337,2,1987527.6099999999,191.5,Low Volume,Infrequent,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,1237,0.48423605497170574,2397.824753435732,5,2966109.22,247.4,Low Volume,Infrequent,Inconsistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,8519,0.35344524005164923,517.5289235825802,3,4408828.9,2839.6666666666665,Low Volume,Frequent,Inconsistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,4356,0.48622589531680444,9084.699093204776,3,39572949.25,1452.0,High Volume,Frequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,7584,0.3603639240506329,17098.171054852322,5,129672529.28,1516.8,High Volume,Frequent,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,12236,0.40119320039228507,34396.58028440667,3,420876556.36,4078.6666666666665,High Volume,Frequent,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,975,0.4317948717948718,746.7256512820513,3,728057.51,325.0,Low Volume,Infrequent,Inconsistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,1590,0.34591194968553457,7216.667245283019,3,11474500.92,530.0,Low Volume,Infrequent,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,1430,0.3062937062937063,2133.6673636363635,3,3051144.33,476.6666666666667,Low Volume,Infrequent,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,9893,0.8108763772364298,2600.7780491256444,5,25729497.24,1978.6,High Volume,Frequent,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,1559,0.45221295702373315,3748.8675112251444,2,5844484.45,779.5,Low Volume,Infrequent,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,4601,0.38274288198217776,2204.6855314062163,3,10143758.13,1533.6666666666667,Low Volume,Frequent,Consistent Loser
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,1911,0.33019361590790164,6279.002286760858,3,11999173.37,637.0,High Volume,Infrequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,14998,0.26196826243499133,820.4285131350847,4,12304786.84,3749.5,High Volume,Frequent,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,3052,0.2853866317169069,3601.689298820446,3,10992355.74,1017.3333333333334,Low Volume,Infrequent,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,15605,0.3457866068567767,1273.1950003204101,3,19868207.98,5201.666666666667,High Volume,Frequent,Inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,417,0.5731414868105515,2066.6892086330936,3,861809.4,139.0,Low Volume,Infrequent,Consistent Winner
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,563,0.40852575488454707,2979.4417761989343,3,1677425.72,187.66666666666666,Low Volume,Infrequent,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,534,0.32209737827715357,8330.193370786517,2,4448323.26,267.0,Low Volume,Infrequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,14733,0.3371343243059798,3837.885375008484,6,56543565.23,2455.5,High Volume,Frequent,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,0.4386109962794543,22504.555828854896,1,108877041.1,4838.0,High Volume,Frequent,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,21192,0.46758210645526616,3210.472831257078,2,68036340.24,10596.0,High Volume,Frequent,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,2641,0.32752745172283226,7852.098337750852,3,20737391.71,880.3333333333334,High Volume,Infrequent,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,40184,0.428230141349791,1844.2118863229146,3,74107810.44,13394.666666666666,High Volume,Frequent,Inconsistent
